
taxa	total	dpt.me	dpt.sd	d>5.tot	d>5.me	d>5.sd	badpairs
WD_9	50268	69.046	2561.725	31804	107.808	3219.97	0
WN_1	77059	74.134	1714.605	60412	93.922	1936.017	0
WN_10	71192	43.55	706.902	54707	55.921	805.995	0
WN_11	81636	93.52	2565.181	67853	112.066	2813.316	0
WN_12	83334	75.422	1852.442	67957	92.008	2050.981	0
WN_13	79072	70.533	1596.242	65571	84.611	1752.556	0
WN_14	83034	79.536	1808.479	67239	97.734	2009.265	0
WN_15	73875	58.489	1605.122	53454	79.956	1886.536	0
WN_16	65418	34.737	862.511	44071	50.333	1050.486	0
WN_17	88106	54.717	1263.352	64916	73.45	1471.355	0
WN_18	80155	79.739	2029.32	65430	97.206	2245.721	0
WN_19	74744	50.346	1027.102	62145	60.067	1126.167	0
WN_2	70219	58.867	1899.102	50531	80.876	2238.318	0
WN_20	78541	55.063	1108.165	64170	66.876	1225.678	0
WN_3	73385	53.282	1401.184	54672	70.697	1622.999	0
WN_4	85985	69.039	1870.458	64073	91.891	2166.342	0
WN_5	82359	73.65	1818.936	66596	90.582	2022.411	0
WN_6	76418	47.244	1077.793	61123	58.487	1204.859	0
WN_7	82373	54.234	956.026	64766	68.38	1077.739	0
WN_8	70024	55.894	1748.195	49765	77.691	2073.329	0
WN_9	63581	43.854	1200.575	46581	58.969	1402.342	0

    ## total = total number of clusters, including singletons
    ## dpt.me = mean depth of clusters
    ## dpt.sd = standard deviation of cluster depth
    ## >N.tot = number of clusters with depth greater than N
    ## >N.me = mean depth of clusters with depth greater than N
    ## >N.sd = standard deviation of cluster depth for clusters with depth greater than N
    ## badpairs = mismatched 1st & 2nd reads (only for paired ddRAD data)

HISTOGRAMS

    
sample: CD_16
bins	depth_histogram	cnts
   :	0------------50-------------100%
0 	*****                               12076
5 	***                                 4931
10 	**                                  3460
15 	**                                  2921
20 	**                                  2615
25 	**                                  2741
30 	**                                  2731
35 	**                                  2858
40 	***                                 5519
50 	*********                           22948
100 	*******                             16945
250 	**                                  1653
500 	*                                   632

sample: CD_17
bins	depth_histogram	cnts
   :	0------------50-------------100%
0 	*****                               10996
5 	***                                 4720
10 	**                                  3576
15 	**                                  2990
20 	**                                  2804
25 	**                                  2782
30 	**                                  2812
35 	**                                  2944
40 	***                                 5836
50 	**********                          23546
100 	*******                             15347
250 	**                                  1404
500 	*                                   597

sample: CD_18
bins	depth_histogram	cnts
   :	0------------50-------------100%
0 	******                              13776
5 	***                                 5421
10 	**                                  4141
15 	**                                  3523
20 	**                                  3226
25 	**                                  3171
30 	**                                  3207
